,Rtn,Date
0,1.3586354027657284,2009-01-01
1,2.5444613953412625,2009-02-01
2,1.298847345318739,2009-03-01
3,2.9395633243566364,2009-04-01
4,8.259966715813023,2009-05-01
5,2.6503378571202814,2009-06-01
6,1.095347196141796,2009-07-01
7,2.955147504895152,2009-08-01
8,1.7506438028238414,2009-09-01
9,1.6712089730300335,2009-10-01
10,1.0701433495611548,2009-11-01
11,2.016771196450846,2009-12-01
12,1.7080087372057098,2010-01-01
13,0.6182380856721937,2010-02-01
14,1.3092493451244485,2010-03-01
15,2.2874055735985572,2010-04-01
16,1.5043432160887975,2010-05-01
17,0.5560211933264938,2010-06-01
18,1.2633018947670789,2010-07-01
19,1.8370005276984194,2010-08-01
20,0.8271690625742204,2010-09-01
21,3.0114613063429654,2010-10-01
22,1.3326016864354748,2010-11-01
23,0.7390212673703211,2010-12-01
24,1.9155175750324809,2011-01-01
25,0.768605983784198,2011-02-01
26,0.7308984078324966,2011-03-01
27,0.8451500777520017,2011-04-01
28,1.4269855459910474,2011-05-01
29,0.6844720008587876,2011-06-01
30,0.39370674283532064,2011-07-01
31,0.6152304253608772,2011-08-01
32,0.9014248006180657,2011-09-01
33,0.8273562967611022,2011-10-01
34,2.95050100944906,2011-11-01
35,0.515866753901187,2011-12-01
36,0.6568587617211864,2012-01-01
37,1.939483485159648,2012-02-01
38,1.2164949152910216,2012-03-01
39,0.8439992028592134,2012-04-01
40,0.6209633221802583,2012-05-01
41,0.17445873040204676,2012-06-01
42,1.16282358889613,2012-07-01
43,0.8281714660636109,2012-08-01
44,0.8699410150258975,2012-09-01
45,1.0335675737878498,2012-10-01
46,0.44712275840592774,2012-11-01
47,0.9266580694248258,2012-12-01
48,0.7534643088898981,2013-01-01
49,1.430620717032962,2013-02-01
50,0.7738200493952064,2013-03-01
51,1.3046180556592009,2013-04-01
52,0.917075155851803,2013-05-01
53,1.0830515341335383,2013-06-01
54,0.6070624641455434,2013-07-01
55,1.3944194614336092,2013-08-01
56,0.8161949153269654,2013-09-01
57,1.3806070833259199,2013-10-01
58,1.29902050527287,2013-11-01
59,1.0534512350821055,2013-12-01
60,1.2432386726800535,2014-01-01
61,0.7570492613668893,2014-02-01
62,1.2668791769887697,2014-03-01
63,0.8634436854136227,2014-04-01
64,1.1440193074128429,2014-05-01
65,1.2531984338757396,2014-06-01
66,1.2574206505015777,2014-07-01
67,1.242818000786698,2014-08-01
68,1.2021979356338737,2014-09-01
69,1.0541825878983042,2014-10-01
70,1.4892755439633023,2014-11-01
71,2.0068761975027485,2014-12-01
72,0.5192279421327369,2015-01-01
73,1.1681624280800749,2015-02-01
74,1.8057655382038158,2015-03-01
75,0.5495423951747105,2015-04-01
76,1.3026045890350382,2015-05-01
77,0.9986361587269911,2015-06-01
78,0.9011949801962469,2015-07-01
79,2.054772775546576,2015-08-01
80,0.6179956128606565,2015-09-01
81,0.3648820890720146,2015-10-01
82,2.1063916300711125,2015-11-01
83,0.8945394168016542,2015-12-01
84,1.2849456805783646,2016-01-01
85,0.17605888538490533,2016-02-01
86,0.9271227000879962,2016-03-01
87,1.9921579191070524,2016-04-01
88,1.2415941005936766,2016-05-01
89,1.0368382127061437,2016-06-01
90,0.762181004791824,2016-07-01
91,1.5661943304990498,2016-08-01
92,0.675264044241952,2016-09-01
93,0.8951478161073031,2016-10-01
94,0.8148398186137011,2016-11-01
95,2.01890577188035,2016-12-01
96,0.744066703953051,2017-01-01
97,1.4223952481474826,2017-02-01
98,1.5996135071811168,2017-03-01
99,1.2573050842667246,2017-04-01
100,0.9414622781667589,2017-05-01
101,1.5506497323800992,2017-06-01
102,0.7533697451666328,2017-07-01
103,0.9135689396163462,2017-08-01
104,1.0140353396198243,2017-09-01
105,0.9443936012201729,2017-10-01
106,0.8658202804174143,2017-11-01
107,1.1846204933783298,2017-12-01
108,1.029125646181894,2018-01-01
109,2.148803992276426,2018-02-01
110,0.7174814984418728,2018-03-01
111,1.0404693496495927,2018-04-01
112,0.752885872075914,2018-05-01
113,1.9401225752785853,2018-06-01
114,1.2483346427463864,2018-07-01
115,1.1937257518250572,2018-08-01
116,1.6199058025005928,2018-09-01
117,1.0759806512377816,2018-10-01
118,0.6932186771483324,2018-11-01
119,1.0697382764049561,2018-12-01
120,0.8971914941303554,2019-01-01
121,2.0554421854920153,2019-02-01
122,1.2852938890260939,2019-03-01
123,1.7201502888614473,2019-04-01
124,1.1086138442473705,2019-05-01
125,0.8736205063053598,2019-06-01
126,1.4610028283464158,2019-07-01
127,0.7095697767103479,2019-08-01
128,1.2303084035034022,2019-09-01
