,Date,Rtn
0,2009-01-01,2.0740711972283443
1,2009-02-01,4.437486571408129
2,2009-03-01,2.438377948904467
3,2009-04-01,3.949978088201127
4,2009-05-01,10.334544449175096
5,2009-06-01,3.8598982783754074
6,2009-07-01,1.5836162767106632
7,2009-08-01,3.6877447716422194
8,2009-09-01,1.9533320897723636
9,2009-10-01,2.211638229643217
10,2009-11-01,2.5489202934149815
11,2009-12-01,2.5692140095860845
12,2010-01-01,1.6836708107188558
13,2010-02-01,1.090927179079475
14,2010-03-01,1.7420200930245695
15,2010-04-01,2.5589251875695083
16,2010-05-01,1.5528403102996442
17,2010-06-01,1.2372276737504737
18,2010-07-01,2.22526716985447
19,2010-08-01,3.2401705689693343
20,2010-09-01,1.5817474721066607
21,2010-10-01,4.006339533086421
22,2010-11-01,2.184276881224764
23,2010-12-01,1.4267713020987214
24,2011-01-01,2.1151424747369245
25,2011-02-01,1.833347285118757
26,2011-03-01,1.5178215609678951
27,2011-04-01,1.555049425053363
28,2011-05-01,2.3537863338806355
29,2011-06-01,1.6505861161804813
30,2011-07-01,1.1809979542550022
31,2011-08-01,1.4283334813562962
32,2011-09-01,1.9651081167990088
33,2011-10-01,1.3765867385865347
34,2011-11-01,3.1151482536041533
35,2011-12-01,1.0167564128653201
36,2012-01-01,0.9800913512851845
37,2012-02-01,2.5961361357599517
38,2012-03-01,2.094741114383211
39,2012-04-01,1.5631674633354355
40,2012-05-01,1.3223220721308526
41,2012-06-01,1.4929829762131837
42,2012-07-01,1.5129405351230851
43,2012-08-01,1.7108232784007402
44,2012-09-01,1.5659910016457943
45,2012-10-01,1.3290074013489501
46,2012-11-01,1.1640602747338702
47,2012-12-01,1.320164749864846
48,2013-01-01,1.1773043428287613
49,2013-02-01,1.6879121790908633
50,2013-03-01,1.3274671278469712
51,2013-04-01,1.5750020563494564
52,2013-05-01,1.5036545068803242
53,2013-06-01,1.26864187512562
54,2013-07-01,0.9460661003507045
55,2013-08-01,1.790612592939724
56,2013-09-01,1.4597847870704614
57,2013-10-01,1.6869876981606817
58,2013-11-01,1.908793418397755
59,2013-12-01,1.454392163727873
60,2014-01-01,1.6298127858440088
61,2014-02-01,1.1612881429741961
62,2014-03-01,1.8392649045790592
63,2014-04-01,1.321768514517791
64,2014-05-01,2.245237500258416
65,2014-06-01,1.6272308415758283
66,2014-07-01,1.47906584676075
67,2014-08-01,1.71539715311155
68,2014-09-01,1.823750008908223
69,2014-10-01,2.0285230870291744
70,2014-11-01,1.9695298723283396
71,2014-12-01,2.437491130202947
72,2015-01-01,0.8648484476216841
73,2015-02-01,1.442054463379595
74,2015-03-01,2.188643956346499
75,2015-04-01,1.0136807635818144
76,2015-05-01,1.9498605190019216
77,2015-06-01,1.7334222833093944
78,2015-07-01,1.1439882777783557
79,2015-08-01,3.13629141011137
80,2015-09-01,0.7414201653224959
81,2015-10-01,0.9669130094288692
82,2015-11-01,2.030964675873688
83,2015-12-01,1.453035527861198
84,2016-01-01,1.5854781856212616
85,2016-02-01,1.0124106728526099
86,2016-03-01,1.3203301255324542
87,2016-04-01,2.0398532539623466
88,2016-05-01,1.6798631702026396
89,2016-06-01,1.5099787024903184
90,2016-07-01,1.267589283322936
91,2016-08-01,1.9241324058695877
92,2016-09-01,0.9562276803692911
93,2016-10-01,1.420587499638136
94,2016-11-01,1.0150719484607114
95,2016-12-01,2.789686067465974
96,2017-01-01,1.0316967733761016
97,2017-02-01,1.811378572242425
98,2017-03-01,2.0936625032739142
99,2017-04-01,1.577344766338097
100,2017-05-01,1.5223229602181378
101,2017-06-01,2.352446933411808
102,2017-07-01,0.9818456494311231
103,2017-08-01,1.3042310735977454
104,2017-09-01,1.5380779466678793
105,2017-10-01,1.4999293406514806
106,2017-11-01,1.6005040407051347
107,2017-12-01,1.4654089398768562
108,2018-01-01,1.5604725177981935
109,2018-02-01,2.469138133284601
110,2018-03-01,1.2117378635066012
111,2018-04-01,2.0275272255273533
112,2018-05-01,1.277982374300969
113,2018-06-01,1.9494187489602826
114,2018-07-01,1.5761487324673857
115,2018-08-01,1.797063526969438
116,2018-09-01,2.1706062811216484
117,2018-10-01,1.6771186079899354
118,2018-11-01,1.2019281347108286
119,2018-12-01,1.221288309659706
120,2019-01-01,1.5736010404352827
121,2019-02-01,2.746329770959539
122,2019-03-01,1.6958904712058367
123,2019-04-01,1.8603586746657448
124,2019-05-01,1.4239628453228592
125,2019-06-01,1.420566051001427
126,2019-07-01,2.019169126995883
127,2019-08-01,1.2609444551821307
128,2019-09-01,2.2694960559729074
