,Date,Rtn
0,2009-01-01,1.5425244431997331
1,2009-02-01,-8.084768419228805
2,2009-03-01,-10.443978491129807
3,2009-04-01,10.220500392479632
4,2009-05-01,16.51933143442085
5,2009-06-01,5.224477713986925
6,2009-07-01,0.7900205276781521
7,2009-08-01,9.956711042009431
8,2009-09-01,6.657057615343626
9,2009-10-01,4.155982771314592
10,2009-11-01,-1.6795419218778298
11,2009-12-01,6.298292117886784
12,2010-01-01,3.6989259491537916
13,2010-02-01,-3.163536429162166
14,2010-03-01,5.298842892072859
15,2010-04-01,7.976977555581055
16,2010-05-01,3.6573789784290494
17,2010-06-01,-7.731153185976639
18,2010-07-01,-5.6920914773921405
19,2010-08-01,7.453797521456462
20,2010-09-01,-4.118462545054321
21,2010-10-01,9.623811741185092
22,2010-11-01,4.019137607194797
23,2010-12-01,0.964469682951314
24,2011-01-01,8.250226731462822
25,2011-02-01,3.1167170788462424
26,2011-03-01,4.43289322786638
27,2011-04-01,1.1692090673091813
28,2011-05-01,2.9474676931367174
29,2011-06-01,-1.1169664028939805
30,2011-07-01,-1.1477174078351606
31,2011-08-01,-1.8185550713402132
32,2011-09-01,-5.313563767943097
33,2011-10-01,-6.851337226701585
34,2011-11-01,11.575841344608763
35,2011-12-01,0.7572132625807187
36,2012-01-01,2.114862075605463
37,2012-02-01,4.776792646868648
38,2012-03-01,5.24188058320778
39,2012-04-01,4.251536108611933
40,2012-05-01,0.12472698682995263
41,2012-06-01,-4.695945640577312
42,2012-07-01,4.44923275574036
43,2012-08-01,2.1398284013409827
44,2012-09-01,3.088042360620579
45,2012-10-01,3.6198984416194433
46,2012-11-01,-0.056374382655774824
47,2012-12-01,1.1362342009177362
48,2013-01-01,2.4523822615104365
49,2013-02-01,6.016316049368253
50,2013-03-01,2.015042098260154
51,2013-04-01,4.6204241984032794
52,2013-05-01,2.644316115804492
53,2013-06-01,3.7043547983700815
54,2013-07-01,-0.7688172167274563
55,2013-08-01,6.302865061765158
56,2013-09-01,-2.537817695887312
57,2013-10-01,4.10406255397133
58,2013-11-01,5.133054042660403
59,2013-12-01,3.6623203162276536
60,2014-01-01,3.3958331462343256
61,2014-02-01,-3.0554694679346643
62,2014-03-01,5.152928385240512
63,2014-04-01,2.499374257079718
64,2014-05-01,0.9006957607217991
65,2014-06-01,2.9927501482321714
66,2014-07-01,2.7169384105253287
67,2014-08-01,-0.6228102766949254
68,2014-09-01,4.727703362659321
69,2014-10-01,-0.7794653408481704
70,2014-11-01,2.382844390491456
71,2014-12-01,3.17687457455766
72,2015-01-01,0.7460466688391758
73,2015-02-01,-2.861705075339791
74,2015-03-01,6.048832691772918
75,2015-04-01,-0.6824516051399946
76,2015-05-01,1.5308063186093703
77,2015-06-01,2.076102006798575
78,2015-07-01,-1.0386111888154579
79,2015-08-01,2.4651817012596586
80,2015-09-01,-4.858716225950451
81,2015-10-01,-1.927876590302519
82,2015-11-01,8.183614667874355
83,2015-12-01,1.011059153354704
84,2016-01-01,-1.018055075532654
85,2016-02-01,-4.187632759104869
86,2016-03-01,-0.0872068983398562
87,2016-04-01,7.314662272208404
88,2016-05-01,2.0387918859492182
89,2016-06-01,2.1302471008585804
90,2016-07-01,0.28323506490579464
91,2016-08-01,3.8808331977572137
92,2016-09-01,1.6922347606823964
93,2016-10-01,0.21997361190324205
94,2016-11-01,0.5886279737826787
95,2016-12-01,8.877121460807508
96,2017-01-01,3.3044662580565634
97,2017-02-01,2.157745250649302
98,2017-03-01,3.9831488330460525
99,2017-04-01,0.05709695470065102
100,2017-05-01,1.1939152697160451
101,2017-06-01,1.6658450467654098
102,2017-07-01,1.4297548820977488
103,2017-08-01,2.588616875972778
104,2017-09-01,0.5688894715586258
105,2017-10-01,3.8744996345912437
106,2017-11-01,3.3987807411033906
107,2017-12-01,3.488712543718746
108,2018-01-01,1.5490500852521707
109,2018-02-01,6.519478720780962
110,2018-03-01,-3.1622191523583147
111,2018-04-01,-1.961355132532142
112,2018-05-01,0.7009958182823122
113,2018-06-01,3.1223507907789507
114,2018-07-01,0.35053073064053925
115,2018-08-01,3.948155506090931
116,2018-09-01,3.7411229522043032
117,2018-10-01,0.5727461098696116
118,2018-11-01,-5.164409703319974
119,2018-12-01,2.2225152909464154
120,2019-01-01,-8.62259404018004
121,2019-02-01,8.172401588104652
122,2019-03-01,3.306986253126092
123,2019-04-01,1.59272184244893
124,2019-05-01,4.98892370835645
125,2019-06-01,-5.84879597883132
126,2019-07-01,7.094019588605672
127,2019-08-01,2.1284487578504674
128,2019-09-01,-1.60216247688818
